Package Name,Reviewer Name,Review,Rating
com.ioanalazar.bdays,Nina Assasi,This app is incredible. I never forget the birthday dates of my relatives and friends thanks to this app.,5
com.ioanalazar.bdays,Ya like Jazz???,what do u mean 50 max b day???,5
com.ioanalazar.bdays,Anirudh Sharma,"I'd like to start using the app, but I'm stuck at the part where it needs permission to create alarms. I've checked high and low but can't find the ability to grant such a permission to apps! Please include basic setup instructions on the Play Store page so that people can troubleshoot such issues to avoid weird inconveniences right off the bat.",3
com.ioanalazar.bdays,SimbiAni Love,"June2023: Lovely app! but NEEDS: options for social links, email/address, etc; ""gift ideas"" shd just be called ""notes""; ability to customize ALL colors, including the ""person type"" tags; editing date mode shd be [YEAR-MM-DD] 🙏 UPDATE! Oct2025: Still no Google login (want to use ~diff accts for diff reasons), so no multi-device access either; still no tag color editing; still no proper sorting (by age OR calendar); also please, hide those delete buttons! shd be safely ~inside bday profiles; thx!",2
com.ioanalazar.bdays,Jeff Boswell,Great way to remember birthdays. love the day before notice that it gives you!!!,5
com.ioanalazar.bdays,Kirsty M,"4.75 stars. This is a fabulous app with almost every feature I want, and some I didn't even know I wanted! If you could add 'sort/order by age' (eg youngest to oldest) then I would revise to 5 stars, it's the only feature I want that is missing.",4
com.ioanalazar.bdays,Lucas Fatoux Kremser,"The app never sends me a notification when there's a birthday, which is the whole point of the app. I have the latest version and all of my settings are correct, but it never works. I am really disapointed. Moreover, I read other people comments and many complains of the same problem...",2
com.ioanalazar.bdays,Ximena Cerrillos García,Es buenísimo para recordar cumpleaños y anotarlos también,5
com.ioanalazar.bdays,ImogenAlanaJahdi Brooker,I really like this app because you can use it for national days for example best friend day and you can also use it for celebrities birthdays I think it's amazing,5
com.ioanalazar.bdays,Brian Miller,The only problem with this app is that it still accumulates the age of a person after you select Died.,4
com.ioanalazar.bdays,Monira Hossian,good,5
com.ioanalazar.bdays,Amelie Berlin,"it's Just is a five, no comment",5
com.ioanalazar.bdays,Tun Tun Oo,မဂ်လာပါ,1
com.ioanalazar.bdays,Bernhard Steidl,"Nice looks and theoretically all the features I need. Sadly when I try to export it just hangs on ""Save Backup File to Google Drive"". Other ways to export would also be nice, for example to just save the backup file on the device.",3
com.ioanalazar.bdays,Samuel B,"Cannot even get past the ""grant BDays permission to create alarm"" screen, there are no settings to give the apps access to alarm usage. Literally unusable...",1
com.ioanalazar.bdays,Savi Murdock,How TF am I suppose to give it alarms permission!!,1
com.ioanalazar.bdays,Stevyn Wesley,"Useless. It flashes ""Enable Alarms"", but there is no way for me to do it",1
com.ioanalazar.bdays,Rocky Joiner,Easy to use,4
com.ioanalazar.bdays,Dr.Vemula Ramalingeswar Rao,I am not getting b.d.calender (dates) I have already installed reminder & caleder,5
com.ioanalazar.bdays,Omendra Varshney,"Good app but there is no search option in contact list, very time wasting to find contact name by scrolling",3
com.ioanalazar.bdays,MUGILAN A,"It had one job and it failed miserably in that. The notification system is trash here, so don't expect this app to correctly notify you on specific days. I had my notification come 10 days after my frnds birthday. Other than the notification system, the record keeping is fine. No issues over there. Edit: after the update, the notification system is working. Thanking the developers for the update.",5
com.ioanalazar.bdays,Eric Martelly,Poorly designed. Unable to change themes. I'm,2
com.ioanalazar.bdays,Joe,Why do I have to manually go through and reject a list of hundreds of advertisers asking for cookie durations of five years long - scummy move.,1
com.ioanalazar.bdays,Habib Ur Rehman,Dont agree to share with you our personal data to use,1
com.ioanalazar.bdays,Freinafrou Jones,"All my notifications settings are correct. This app fails to send me notifications, which is the whole point of having the app.",1
com.ioanalazar.bdays,Prashanth k,"The reminder notification is not working, I am using samsung s23",3
